mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480
16.275,-0.022,0.206155281,16.275,-0.022,0.206155281,78.5,0.14,1.290994449,78.5,0.14,1.290994449,1.8,0.0,0.0,1.8,0.0,0.0,930.75,0.58,5.315072906,930.75,0.58
16.0,-0.04,0.141421356,16.0,-0.04,0.141421356,78.5,0.2,0.707106781,78.5,0.2,0.707106781,2.45,0.1,0.353553391,2.45,0.1,0.353553391,938.0,0.4,1.414213562,938.0,0.4
15.73333333,-0.01,0.057735027,15.73333333,-0.01,0.057735027,80.0,0.1,1.0,80.0,0.1,1.0,1.8,-3.85e-17,0.0,1.8,-3.85e-17,0.0,936.0,-0.5,6.557438524,936.0,-0.5
15.58333333,-0.000571429,0.075277265,15.58333333,-0.000571429,0.075277265,79.66666667,-0.034285714,0.816496581,79.66666667,-0.034285714,0.816496581,1.933333333,2.55e-14,0.206559112,1.933333333,2.55e-14,0.206559112,918.6666667,-0.96,15.66737587,918.6666667,-0.96
15.1,-0.012,0.223606798,15.1,-0.012,0.223606798,80.33333333,0.016666667,0.866025404,80.33333333,0.016666667,0.866025404,1.922222222,-0.006666667,0.307318149,1.922222222,-0.006666667,0.307318149,854.6666667,3.196666667,66.1626783,854.6666667,3.196666667
15.5,0.030857143,0.309838668,15.5,0.030857143,0.309838668,79.0,-0.08,1.264911064,79.0,-0.08,1.264911064,1.466666667,-0.005714286,0.25819889,1.466666667,-0.005714286,0.25819889,778.6666667,-5.965714286,134.7333168,778.6666667,-5.965714286
15.96666667,-0.005714286,0.150554531,15.96666667,-0.005714286,0.150554531,76.66666667,0.022857143,1.032795559,76.66666667,0.022857143,1.032795559,1.633333333,0.005714286,0.25819889,1.633333333,0.005714286,0.25819889,693.3333333,-6.822857143,120.5332596,693.3333333,-6.822857143
15.31428571,-0.040714286,0.498091596,15.31428571,-0.040714286,0.498091596,78.42857143,0.142857143,2.225394561,78.42857143,0.142857143,2.225394561,1.842857143,0.007857143,0.3047247,1.842857143,0.007857143,0.3047247,610.4285714,-3.457142857,156.2571141,610.4285714,-3.457142857
14.81666667,-0.004,0.116904519,14.81666667,-0.004,0.116904519,81.0,-0.011428571,0.894427191,81.0,-0.011428571,0.894427191,1.616666667,0.026857143,0.376386326,1.616666667,0.026857143,0.376386326,603.0,-3.714285714,79.16059626,603.0,-3.714285714
14.71111111,-0.012333333,0.214734979,14.71111111,-0.012333333,0.214734979,81.44444444,0.063333333,1.013793755,81.44444444,0.063333333,1.013793755,1.977777778,0.004,0.210818511,1.977777778,0.004,0.210818511,450.4444444,-6.026666667,101.1151709,450.4444444,-6.026666667
13.4,-0.03,0.341565026,13.4,-0.03,0.341565026,86.14285714,0.114285714,1.345185418,86.14285714,0.114285714,1.345185418,1.842857143,-0.010714286,0.3047247,1.842857143,-0.010714286,0.3047247,221.0,-5.821428571,71.43761847,221.0,-5.821428571
12.21666667,-0.032447552,0.599747422,12.39411765,-0.020343137,0.57278987,90.83333333,0.086713287,1.749458791,90.23529412,0.059803922,1.751050105,1.291666667,0.013916084,0.437884031,1.3,0.00495098,0.396862697,46.08333333,-2.802097902,58.77609027,70.94117647,-2.272058824
11.25,-0.02,0.129099445,11.25,-0.02,0.129099445,93.75,-0.02,0.5,93.75,-0.02,0.5,1.225,0.01,0.427200187,1.225,0.01,0.427200187,0.75,0.06,1.5,0.75,0.06
10.61111111,-0.010801603,0.208832735,10.61111111,-0.010801603,0.208832735,94.77777778,0.032064128,0.666666667,94.77777778,0.032064128,0.666666667,0.922222222,-0.009519038,0.643773597,0.922222222,-0.009519038,0.643773597,0.0,0.0,0.0,0.0,0.0
10.22222222,2.26e-05,0.044095855,10.23,-0.000688724,0.048304589,96.11111111,0.009276018,0.333333333,96.1,0.007157326,0.316227766,0.666666667,-0.005633484,0.476969601,0.69,-0.0058474,0.455704583,0.0,0.0,0.0,0.0,0.0
10.22,-0.004,0.04472136,10.22,-0.004,0.04472136,96.0,1.27e-15,0.0,96.0,1.27e-15,0.0,0.78,-0.03,0.38340579,0.78,-0.03,0.38340579,0.0,0.0,0.0,0.0,0.0
10.2,0.0,0.0,10.2,0.0,0.0,96.0,1.27e-15,0.0,96.0,1.27e-15,0.0,0.8,-0.01,0.223606798,0.8,-0.01,0.223606798,0.0,0.0,0.0,0.0,0.0
10.73333333,0.002586207,0.05,10.65714286,0.002386916,0.16426846,96.0,0.0,0.0,96.42857143,-0.00625,0.503952631,0.266666667,0.006502463,0.2,0.478571429,-0.002964494,0.296094508,0.0,0.0,0.0,0.0,0.0
11.175,0.006363636,0.128805703,10.67045455,0.001185647,0.260043803,92.0,-0.041958042,0.852802865,94.5,-0.010247502,1.531282987,0.958333333,0.006083916,0.380091695,0.947727273,0.00069267,0.475364899,134.5833333,2.216083916,44.85219835,28.80681818,0.289363292
11.42,0.018,0.164316767,11.42,0.018,0.164316767,90.6,-0.06,0.547722558,90.6,-0.06,0.547722558,1.24,0.008,0.371483512,1.24,0.008,0.371483512,297.6,11.24,199.3120669,297.6,11.24
13.21666667,0.040699301,0.738343765,12.8625,0.037294118,0.895823643,83.41666667,-0.18951049,3.449857265,84.875,-0.162941176,3.947573094,0.716666667,0.00027972,0.358870281,0.8625,-0.008117647,0.403112887,742.5,2.366433566,42.70086224,662.875,6.007647059
14.625,0.026,0.170782513,14.625,0.026,0.170782513,76.0,-0.08,0.816496581,76.0,-0.08,0.816496581,0.525,0.01,0.25,0.525,0.01,0.25,831.75,1.86,12.71154331,831.75,1.86
15.84166667,0.023566434,0.458174904,15.84166667,0.023566434,0.458174904,71.83333333,-0.018181818,1.585922922,71.83333333,-0.018181818,1.585922922,1.291666667,0.007342657,0.355370059,1.291666667,0.007342657,0.355370059,890.6666667,1.297902098,23.5732257,890.6666667,1.297902098
16.2,,,16.2,,,73.0,,,73.0,,,1.3,,,1.3,,,923.0,,,923.0,
16.625,0.026,0.189296945,16.625,0.026,0.189296945,70.0,-0.16,1.414213562,70.0,-0.16,1.414213562,1.2,-0.048,0.583095189,1.2,-0.048,0.583095189,932.75,0.26,5.057996968,932.75,0.26
17.12,0.02,0.164316767,17.12,0.02,0.164316767,66.6,-0.06,1.140175425,66.6,-0.06,1.140175425,1.52,0.054,0.589067059,1.52,0.054,0.589067059,941.4,0.24,2.19089023,941.4,0.24
